Name,LevelRange,Zone,Family
Chocoboleech,N/A,Dangruf Wadi,Leech
Chonchon,N/A,Meriphataud Mountains,Cockatrice
Chuglix Berrypaws,N/A,Rolanberry Fields,Goblin
Chuhaister,N/A,Ghoyu's Reverie (MMM),Goobbue
Chukwa,N/A,Abyssea-Tahrongi,Adamantoise
Cinderwing,N/A,Sauromugue Champaign (S),Bird
Cinnamon Custard,N/A,Nyzul Isle,Flan
Cirein-croin,N/A,Abyssea-Misareaux,Orobon
Cirrate Christelle,N/A,Dynamis - Valkurm,Dynamis - Morbol
Citadel Chelonian,N/A,Silver Sea Remnants,Salvage - Adamantoise
Citadel Pipistrelles,N/A,Garlaige Citadel (S),Triple Bats
Citipati,67 - 70,Attohwa Chasm,Corse
Claret,N/A,Mount Zhayolm,Slime
Cleuvarion M Resoaix,N/A,Temple of Uggalepih,Shadow
Climbpix Highrise,55 - 55,Sauromugue Champaign,Goblin
Clingy Clare,N/A,Abyssea-Konschtat,Morbol
Cloktix Longnail,N/A,Dynamis - Jeuno,Dynamis - Goblin
Cobalt Sentinel,N/A,Al Zahbi,Automaton
Cobraclaw Buchzvotch,N/A,Dynamis - Beaucedine,Dynamis - Orc
Cobraclaw Buchzvotch,N/A,Jugner Forest (S),Orc
Cogitator,N/A,Spire of Holla,Empty
Cogtooth Skagnogg,N/A,La Vaule (S),Orcish Warmachine
Coinbiter Cjaknokk,N/A,La Vaule (S),Orc
Colibri,N/A,Bhaflau Remnants,Salvage - Colibri
Colo-Colo,20 - 20,Ghelsba Outpost,Bats
Colorful Leshy,N/A,Lufaise Meadows,Treant
Conqueror Bakgodek,N/A,Jugner Forest (S),Orc
Contantican Black Mage,50 - 50,Eastern Altepa Desert,Antica
Contantican Paladin,50 - 50,Eastern Altepa Desert,Antica
Contantican Ranger,50 - 50,Eastern Altepa Desert,Antica
Contantican Warrior,50 - 50,Eastern Altepa Desert,Antica
Contemplator,N/A,Spire of Vahzl,Empty
Coo Keja the Unseen,N/A,Meriphataud Mountains,Yagudo
Cook Balberry,N/A,Temple of Uggalepih,Tonberry
Cook Fulberry,N/A,Temple of Uggalepih,Tonberry
Cook Minberry,N/A,Temple of Uggalepih,Tonberry
Cook Solberry,N/A,Temple of Uggalepih,Tonberry
Cookieduster Lipiroon,N/A,Alzadaal Undersea Ruins,Qiqirn
Copper Borer,N/A,Halvung,Wamouracampa
Coquecigrue,N/A,Sauromugue Champaign (S),Cockatrice
Coral Sahagin,72 - 74,Sea Serpent Grotto,Sahagin
Corrupt Einherjar,N/A,Einherjar - Helmwige's Chamber, 5 more areas,Taurus
Corrupted Soffeil,63 - 63,King Ranperre's Tomb,Skeleton
Corrupted Ulbrig,63 - 63,King Ranperre's Tomb,Skeleton
Corrupted Yorgos,63 - 63,King Ranperre's Tomb,Skeleton
Cosmos Cocora,N/A,West Sarutabaruta (S),Lycopodium
Cosmos Stamen,N/A,West Sarutabaruta (S),Mandragora
Cottontail,38 - 39,Horlais Peak,Rabbit
Counselor Gadalar,N/A,Stellar Fulcrum,Hume
Counselor Mihli,N/A,Stellar Fulcrum,Mithra
Counselor Najelith,N/A,Stellar Fulcrum,Hume
Counselor Rughadjeen,N/A,Stellar Fulcrum,Elvaan
Counselor Zazarg,N/A,Stellar Fulcrum,Galka
Count Andromalius,N/A,Throne Room,Demon
Count Bifrons,68 - 68,Castle Zvahl Keep,Demon
Count Bifrons,N/A,Ghoyu's Reverie,Demon
Count Dracula,N/A,Leujaoam Sanctum,Vampyr
Count Furfur,N/A,Fort Karugo-Narugo (S),Demon
Count Halphas,N/A,Beaucedine Glacier (S),Demon
Count Murmur,N/A,Fort Karugo-Narugo (S),Demon
Count Raum,N/A,Dynamis - Xarcabard,Dynamis - Demon
Count Vine,N/A,Dynamis - Xarcabard,Dynamis - Demon
Count Zaebos,N/A,Dynamis - Xarcabard,Dynamis - Demon
Coveter,38 - 38,Promyvion - Mea,Empty
Craven Einherjar,N/A,Einherjar - Rossweisse's Chamber, 5 more areas,Ghost
Crimson Grimoire,N/A,Throne Room,Unknown Family
Crimson-toothed Pawberry,75 - 75,Temple of Uggalepih,Tonberry
Croque-mitaine,N/A,Pashhow Marshlands (S),Goobbue
Crushed Krause,36 - 38,Gusgen Mines,Ghost
Crushed Krause (Nyzul),N/A,Nyzul Isle,Ghost
Cryptonberry Assassin,N/A,Carpenters' Landing,Tonberry
Cryptonberry Executor,N/A,Carpenters' Landing,Tonberry
Crystal Eater,N/A,Aydeewa Subterrane,Funguar
Cuelebre,N/A,Abyssea-Tahrongi,Wyrm
Cuijatender,N/A,Abyssea-Altepa,Sabotender
Cumin Custard,N/A,Nyzul Isle,Flan
Cumulator,60 - 60,Spire of Vahzl,Empty
Curilla,N/A,Stellar Fulcrum,Elvaan
Cursed Axe,N/A,Periqia,Animated Weapon
Cuu Doko the Blizzard,60 - 60,Balga's Dais,Yagudo
Cwn Cyrff,68 - 68,The Eldieme Necropolis,Hound
Cyaneous-toed Yallberry,60 - 60,Sacrificial Chamber,Tonberry
Cyanic Crab,N/A,Verdical Conflux 1,Crab
Cyclopean Conch,N/A,Manaclipper,Uragnite
Cynoprosopi,N/A,Apollyon - Northwest,Limbus - Wyrm
Cyranuce M Cutauleon,40 - 40,Ghelsba Outpost,Wyvern
Da'Dha Hundredmask,30 - 30,Beadeaux,Quadav
Da'Dha Hundredmask,N/A,Beadeaux (S),Quadav
Da'Shu Knightslayer,N/A,Waughroon Shrine,Quadav
Dabotz's Ghost,53 - 53,Fei'Yin,Ghost
Daggerclaw Dracos,27 - 28,Meriphataud Mountains,Raptor
Daggerclaw Dracos (Nyzul),N/A,Nyzul Isle,Raptor
Dagourmarche,N/A,Dynamis - Beaucedine,Dynamis - Shadow
Dahu,N/A,Western Altepa Desert,Manticore
Dalham,N/A,Bibiki Bay,Sea Monk
Damask Crab,N/A,Verdical Conflux 1,Crab
Dame Blanche,N/A,Korroloka Tunnel,Ghost
Danzo,N/A,Leujaoam Sanctum,Humanoid
Dark Bugler,N/A,Caedarva Mire, 2 more areas,Imp
Dark Dragon,25 - 25,Waughroon Shrine,Dragon
Dark Elemental,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Elemental
Dark Elemental,N/A,Dynamis - Qufim,Dynamis - Elemental
Dark Esquire,N/A,Caedarva Mire, 2 more areas,Demon
Dark Ixion,N/A,Fort Karugo-Narugo (S), 6 more areas,Monohorn
Dark Spark,55 - 55,Castle Zvahl Baileys,Bomb
Darkheir Grradhod,N/A,La Vaule (S),Orc
Darokbok of Clan Reaper,68 - 68,Horlais Peak,Orc
Darting Kachaal Ja,N/A,Mamook,Mamool Ja
De'Pha Unscarred,N/A,Qulun Dome,Quadav
De'Vhu Headhunter,N/A,North Gustaberg (S),Quadav
De'Vyu Headhunter,N/A,Rolanberry Fields (S), 6 more areas,Quadav
Dea,N/A,Bhaflau Thickets,Wivre
Deadly Dodo,39 - 40,Sauromugue Champaign,Cockatrice
Deadpan Devilet,N/A,Silver Sea Remnants,Salvage - Imp
Death Clan Destroyer,N/A,Qu'Bia Arena,Orcish Warmachine
Death from Above,62 - 62,Temple of Uggalepih,Bee
Deathcaller Bidfbid,N/A,Dynamis - Beaucedine,Dynamis - Orc
Deathlord Rojgnoj,N/A,Jugner Forest (S), 1 more areas,Orc
Deathly Stinger,N/A,North Gustaberg,Bee
Decimator Mabel Ja,N/A,Al Zahbi,Mamool Ja
Decurio I-III,N/A,Eastern Altepa Desert,Antica
Dee Xalmo the Grim,N/A,Sauromugue Champaign (S), 6 more areas,Yagudo
Dee Zelko the Esoteric,N/A,Castle Oztroja (S),Yagudo
Deelgeed,N/A,Abyssea-Grauberg,Bugard
Defoliate Leshy,N/A,Lufaise Meadows,Treant
Dekka,N/A,Silver Sea Remnants,Salvage - Imp
Delicieuse Delphine,N/A,Rolanberry Fields (S),Morbol
Deloknok,53 - 53,Davoi,Orc
Demented Jalaawa,N/A,Bhaflau Remnants,Salvage - Soulflayer
Demisahagin Bard,45 - 45,Yuhtunga Jungle,Sahagin
Demisahagin Dragoon,45 - 45,Yuhtunga Jungle,Sahagin
Demisahagin Monk,45 - 45,Yuhtunga Jungle,Sahagin
Demisahagin White Mage,45 - 45,Yuhtunga Jungle,Sahagin
Demoiselle Desolee,N/A,Fort Karugo-Narugo (S),Fly
Demon Banneret,N/A,Castle Zvahl Baileys,Demon
Demon Entomber,N/A,Castle Zvahl Keep (S), 1 more areas,Demon
Demon Secretary,N/A,Castle Zvahl Baileys,Demon
Demonic Rod,N/A,Periqia,Animated Weapon
Demonic Tiphia,60 - 60,Crawlers' Nest,Bee
Dendainsonne,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Behemoth
Denn the Orcavoiced,64 - 65,Sea Serpent Grotto,Sahagin
Deorc,N/A,Batallia Downs, 5 more areas,Elemental
Depths Digester,N/A,Abyssea-Konschtat,Gorgers
Derkabak of Clan Wolf,68 - 68,Horlais Peak,Orc
Dervo's Ghost,N/A,Kuftal Tunnel,Ghost
Desmodont,N/A,Outer Horutoto Ruins,Bats
Despot,80 - 80,Ru'Aun Gardens,Doll
Deviate Bhoot,N/A,Arrapago Remnants,Salvage - Ghost
Deviator,N/A,Promyvion - Vahzl,Wanderers
Devout Radol Ja,83 - 83,Mamook,Mamool Ja
Dextrose,N/A,Halvung,Flan
Dhorme Khimaira,N/A,Abyssea-Uleguerand,Chimera
Dhoul,N/A,The Eldieme Necropolis (S),Ghost
Di'Zho Spongeshell,N/A,Beadeaux (S),Quadav
Diabolos,N/A,The Shrouded Maw,Avatar
Diabolos,N/A,The Shrouded Maw,Avatar
Diabolos Club,N/A,Dynamis - Tavnazia,Dynamis - Avatar
Diabolos Diamond,N/A,Dynamis - Tavnazia,Dynamis - Avatar
Diabolos Heart,N/A,Dynamis - Tavnazia,Dynamis - Avatar
Diabolos Spade,N/A,Dynamis - Tavnazia,Dynamis - Avatar
Diamond Daig,70 - 70,Quicksand Caves,Beetle
Diamond Quadav,75 - 75,Qulun Dome,Quadav
Dicey Dorcus,N/A,Ghoyu's Reverie (MMM),Crawler
Dirtyhanded Gochakzuk,71 - 71,Davoi,Orc
Dirtyhanded Gochakzuk,N/A,Batallia Downs (S), 1 more areas,Orc
Disaster Idol,N/A,Lower Delkfutt's Tower,Doll
Distilix Stickytoes,N/A,Dynamis - Jeuno,Dynamis - Goblin
Div-e Sepid,N/A,Abyssea-Vunkerl,Imp
Dive-Puk,N/A,Al Zahbi,Puk
Djigga,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Chigoe
Do'Bho Venomtail,N/A,North Gustaberg (S), 1 more areas,Quadav
Dog Guardian,52 - 52,The Eldieme Necropolis,Skeleton
Doglix Muttsnout,N/A,Behemoth's Dominion,Goblin
Doll Factory,N/A,Qu'Bia Arena,Doll
Doman,60 - 65,Valkurm Dunes,Shadow
Domovoi,40 - 41,Balga's Dais,Mandragora
Don Poroggo,N/A,Silver Sea Remnants,Salvage - Poroggo
Donggu,N/A,Ordelle's Caves,Funguar
Donnergugi,N/A,Eastern Altepa Desert,Beetle
Doo Peku the Fleetfoot,N/A,Dynamis - Buburimu,Dynamis - Yagudo
Doomed Pilgrims,N/A,The Sanctuary of Zi'tah,Doomed
Doppelganger Dio,23 - 25,Outer Horutoto Ruins,Shadow
Doppelganger Gog,23 - 25,Outer Horutoto Ruins,Shadow
Dorgerwor the Astute,81 - 0,Halvung,Troll
Dosetsu Tree,N/A,Qufim Island,Treant
Dozing Dorian,N/A,Abyssea-La Theine,Sheep
Dragonian Berserker,N/A,Horlais Peak,Dragon
Dragonian Minstrel,N/A,Horlais Peak,Dragon
Dragonscaled Bugaal Ja,N/A,Mamook,Mamool Ja
Dragontrap,N/A,Dynamis - Valkurm,Dynamis - Flytrap
Dragua,N/A,Abyssea-Altepa,Wyrm
Drakefeast Wubmfub,N/A,Dynamis - Beaucedine,Dynamis - Orc
Draketrader Zlodgodd,N/A,La Vaule (S),Orc
Draklix Scalecrust,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Draugar's Wyvern,N/A,,Wyvern
Draugar's Wyvern,N/A,Al Zahbi,Wyvern
Dread Dealing Dredodak,N/A,Oldton Movalpolos,Goblin
Dread Dragon,25 - 25,Horlais Peak,Dragon
Dreadbug,52 - 52,Crawlers' Nest,Crawler
Drexerion the Condemned,72 - 73,Bostaunieux Oubliette,Shadow
Dribblix Greasemaw,N/A,Sauromugue Champaign,Goblin
Dromiceiomimus,N/A,Balga's Dais,Raptor
Drone Crawler,50 - 55,Crawlers' Nest,Crawler
Drooling Daisy,39 - 40,Rolanberry Fields,Morbol
Drooling Daisy (Nyzul),N/A,Nyzul Isle,Morbol
Droprix Granitepalms,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Drumskull Zogdregg,N/A,Jugner Forest (S),Orc
Dryad,50 - 50,Cloister of Frost,Sapling
Du'Vha Grimwind,N/A,Rolanberry Fields (S),Quadav
Duessa,40 - 50,Jugner Forest,Sapling
Duke Amduscias,N/A,Throne Room,Demon
Duke Berith,N/A,Dynamis - Xarcabard,Dynamis - Demon
Duke Dantalian,N/A,Throne Room,Demon
Duke Decapod,N/A,East Sarutabaruta,Crab
Duke Focalor,N/A,Xarcabard,Demon
Duke Gomory,N/A,Dynamis - Xarcabard,Dynamis - Demon
Duke Haborym,76 - 76,Castle Zvahl Baileys,Demon
Duke Scox,N/A,Dynamis - Xarcabard,Dynamis - Demon
Dune Widow,50 - 50,Eastern Altepa Desert,Spider
Dune Widow (Nyzul),N/A,Nyzul Isle,Spider
Durinn,N/A,Abyssea-Vunkerl,Dvergr
Duu Masa the Onecut,N/A,Altar Room,Yagudo
Dvalinn,N/A,Abyssea-Vunkerl,Dvergr
Dvorovoi,45 - 45,Balga's Dais,Mandragora
Dyinyinga,65 - 68,Rolanberry Fields (S),Slug
Dynamis Effigy,N/A,Dynamis - Beaucedine,Replica
Dynamis Icon,N/A,Dynamis - Beaucedine,Replica
Dynamis Lord,N/A,Dynamis - Xarcabard,Dynamis - Demon
Dynamis Statue,N/A,Dynamis - Beaucedine,Replica
Dynamis Tombstone,N/A,Dynamis - Beaucedine,Replica
Dynast Beetle,N/A,Crawlers' Nest,Beetle
Dzoavits,N/A,Ghoyu's Reverie (MMM),Goobbue
Ea'Tho Cruelheart,60 - 60,Waughroon Shrine,Quadav
Ea'Tho Cruelheart,N/A,Beadeaux (S),Quadav
Ea'Zhu Tremorcrag,N/A,Rolanberry Fields (S),Quadav
Eald'narche,N/A,Celestial Nexus,Zilart
Eald'narche,N/A,Empyreal Paradox,Zilart
Earth Elemental,N/A,Dynamis - Qufim,Dynamis - Elemental
Earth Golem,N/A,Qu'Bia Arena,Golem
Earth Pot,N/A,Qu'Bia Arena,Magic Pot
Eastern Shadow,63 - 63,Fei'Yin,Shadow
Eastern Shadow (Nyzul),N/A,Nyzul Isle,Shadow
Eastern Sphinx,N/A,Western Altepa Desert,Manticore
Eba,N/A,Phomiuna Aqueducts,Fomor
Eccentric Eve,N/A,Abyssea-Konschtat,Morbol
Edacious Opo-opo,N/A,Yhoator Jungle,Opo-opo
Edonus,N/A,Vunkerl Inlet (S),Gigas
Egungun,N/A,Ghoyu's Reverie (MMM),Slug
Eidolic Qufeel Ja,N/A,Al Zahbi,Mamool Ja
Einherjar Brei,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Slime
Einherjar Eater,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Worm
Elatha,N/A,Garlaige Citadel (S),Fomor
Eldertaur,N/A,Bearclaw Pinnacle,Taurus
Eldhrimnir,N/A,Ro'Maeve,Magic Pot
Eldritch Edge,N/A,Rolanberry Fields,Evil Weapon
Elel,N/A,Sacrarium,Corse
Elixmix Hooknose,N/A,Dynamis - Jeuno,Dynamis - Goblin
Ellylldan,N/A,The Eldieme Necropolis (S),Djinn
Ellyllon,N/A,The Boyahda Tree,Funguar
Ellyllon (Nyzul),N/A,Nyzul Isle,Funguar
Elusive Edwin,N/A,The Sanctuary of Zi'tah,Fly
Elvaan Automaton,N/A,Mine Shaft #2716,Humanoid
Elvaanlopper Grokdok,N/A,Dynamis - Beaucedine,Dynamis - Orc
Elvaansticker Bxafraff,N/A,Dynamis - Buburimu,Dynamis - Orc
Emela-ntouka,N/A,Fort Karugo-Narugo (S),Lizard
Emergent Elm,N/A,Bhaflau Thickets,Treant
Emergent Elm (Nyzul),N/A,Nyzul Isle,Treant
Empathic Flan,N/A,Bhaflau Remnants,Salvage - Flan
Emperador de Altepa,N/A,Abyssea-Altepa,Sabotender
Empousa,N/A,Abyssea-Uleguerand,Gargouille
Enagakure,N/A,Ship from Mhaura to Selbina,Ghost
Energetic Eruca,80 - 80,Mount Zhayolm,Crawler (Eruca)
Energetic Eruca (Nyzul),N/A,Nyzul Isle,Crawler (Eruca)
Enkelados,N/A,Upper Delkfutt's Tower,Gigas
Envier,N/A,Spire of Mea,Empty
Eorthe,N/A,Batallia Downs, 5 more areas,Elemental
Epialtes,28 - 32,Lower Delkfutt's Tower,Gigas
Erebus,N/A,Xarcabard, 3 more areas,Skeleton
Eremix Snottynostril,N/A,Dynamis - Jeuno,Dynamis - Goblin
Ereshkigal,N/A,Xarcabard,Ghost
Eriri Samariri,N/A,Nyzul Isle,Poroggo
Erle,N/A,Rolanberry Fields (S),Bee
Es'euvhi,N/A,Abyssea-Attohwa,Euvhi
Ethniu,N/A,The Eldieme Necropolis (S),Fomor
Euryale,N/A,Arrapago Reef,Lamia
Eurymedon,30 - 34,Lower Delkfutt's Tower,Gigas
Eurytos,N/A,Middle Delkfutt's Tower,Gigas
Eurytos,N/A,Bastok Markets (S), 1 more areas,Gigas
Evil Armory,N/A,Apollyon - Southeast,Limbus - Evil Weapon
Evil Oscar,N/A,Horlais Peak,Morbol
Executioner Antlion,78 - 80,Attohwa Chasm,Antlion
Experimental Poroggo,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Poroggo
Expunger,N/A,Al Zahbi,Doomed
Eyegouger,N/A,Batallia Downs,Bird
Eyy Mon the Ironbreaker,16 - 16,Giddeus,Yagudo
Fafnir,88 - 90,Dragon's Aery,Wyrm
Fafnir (Nyzul),N/A,Nyzul Isle,Wyrm
Fahrafahr the Bloodied,N/A,Mount Zhayolm,Troll
Fairy Ring,N/A,Dynamis - Valkurm,Dynamis - Fungar
Falcatus Aranei,44 - 46,Korroloka Tunnel,Spider
Falcatus Aranei (Nyzul),N/A,Nyzul Isle,Spider
Falsespinner Bhudbrodd,N/A,La Vaule (S),Orc
Fantoccini,N/A,Mine Shaft #2716,Humanoid
Farlarder the Shrewd,N/A,Halvung,Troll
Farruca Fly,N/A,West Sarutabaruta, 3 more areas,Fly
Father Frost,74 - 74,Uleguerand Range,Snoll
Faust,83 - 85,The Shrine of Ru'Avitau,Doll
Fay,N/A,North Gustaberg (S),Pixie
Faygorger Ram,N/A,East Ronfaure (S),Ram
Faygorger Sheep,N/A,East Ronfaure (S),Sheep
Faytrapper Vashgash,N/A,East Ronfaure (S),Orc
Fe'e,N/A,Waughroon Shrine,Sea Monk
Fear Gorta,N/A,Abyssea-Konschtat,Ghost
Fee Jugu the Ramfist,N/A,Altar Room,Yagudo
Feeblescheme Bhogbigg,N/A,La Vaule (S),Orc
Feeler Antlion,73 - 75,Attohwa Chasm,Antlion
Feeorin,N/A,North Gustaberg (S),Pixie
Fenrir,N/A,Castle Oztroja (S),Avatar
Fenrir Prime,80 - 80,Full Moon Fountain,Avatar
Ferrocrab,N/A,Lufaise Meadows,Crab
Feuerunke,N/A,Xarcabard, 3 more areas,Doomed
Fighting Flan,N/A,Al Zahbi,Flan
Fighting Sheep,N/A,Horlais Peak,Sheep
Fingerfilcher Dradzad,N/A,Jugner Forest (S),Orc
Fire Elemental,N/A,Dynamis - Qufim,Dynamis - Elemental
Fire Golem,N/A,Qu'Bia Arena,Golem
Fire Pot,N/A,Qu'Bia Arena,Magic Pot
Fire Pukis,N/A,Dynamis - Beaucedine,Dynamis - Dragon
Fired Urn,N/A,Ro'Maeve,Magic Pot
Firedance Magmaal Ja,N/A,Mamook,Mamool Ja
Fistule,N/A,Abyssea-Konschtat,Slime
Flame Eruca,N/A,Al Zahbi,Crawler (Eruca)
Flame Skimmer,N/A,Abyssea-Misareaux,Fly
Flamecaller Zoeqdoq,N/A,Dynamis - Buburimu,Dynamis - Orc
Flames of Muspelheim,N/A,Einherjar - Helmwige's Chamber, 5 more areas,Cluster
Flamma,N/A,Ghoyu's Reverie (MMM),Elemental
Flammeri,N/A,Halvung,Wamouracampa
Flauros,75 - 75,Temple of Uggalepih,Coeurl
Flayer Franz,45 - 45,Waughroon Shrine,Worm
Fleetfingered Mobel Ja,N/A,Al Zahbi,Mamool Ja
Fleshflayer Killakriq,N/A,Abyssea-Grauberg,Goblin
Fleshgnasher,N/A,Castle Oztroja (S),Gnat
Flockbock,N/A,Lufaise Meadows,Ram
Flux Flan,N/A,Bhaflau Remnants,Salvage - Flan
Fodderchief Vokdek,8 - 8,Ghelsba Outpost,Orc
Fogweaver Mozzfuzz,14 - 14,Ghelsba Outpost,Orc
Fomorian Spear,N/A,Lower Delkfutt's Tower,Evil Weapon
Foo Peku the Bloodcloak,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Foredoomer Demon,N/A,Castle Zvahl Baileys (S),Demon
Foreseer Oramix,72 - 72,Ifrit's Cauldron,Goblin
Forger,33 - 33,Konschtat Highlands,Bomb
Foul Meat,43 - 45,Gusgen Mines,Doomed
Fradubio,55 - 60,Jugner Forest,Treant
Fraelissa,35 - 40,Jugner Forest,Treant
Fraelissa (Nyzul),N/A,Nyzul Isle,Treant
Freke,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Cerberus
Freybug,N/A,Qu'Bia Arena,Hound
Friar Rush,70 - 70,Den of Rancor,Bomb
Friar Rush (Nyzul),N/A,Nyzul Isle,Bomb
Frogamander,N/A,Garlaige Citadel,Doomed
Frost Flambeau,N/A,Uleguerand Range,Snoll
Frostmane,N/A,Cape Teriggan,Manticore
Frostmane (Nyzul),N/A,Nyzul Isle,Manticore
Fuath,N/A,Abyssea-Grauberg,Pixie
Fulmen,N/A,Ghoyu's Reverie (MMM),Elemental
Fulmotondro,N/A,Abyssea-Vunkerl,Avatar
Funereal Apkallu,N/A,Abyssea-Misareaux,Apkallu
Fungic Koti,N/A,Ghoyu's Reverie (MMM),Funguar
Fungus Beetle,N/A,West Ronfaure,Beetle
Fungus Beetle (Nyzul),N/A,Nyzul Isle,Beetle
Furies,20 - 20,Ghelsba Outpost,Triple Bats
Fyuu the Seabellow,N/A,Sea Serpent Grotto,Sahagin
Ga'Bhu Unvanquished,47 - 48,Beadeaux,Quadav
Ga'Dho Softstep,N/A,Rolanberry Fields (S), 1 more areas,Quadav
Ga'Dho Staggershell,N/A,Rolanberry Fields (S),Quadav
Ga'Lhu Nevermolt,N/A,Beadeaux (S),Quadav
Gabblox Magpietongue,N/A,Dynamis - Jeuno,Dynamis - Goblin
Gaizkin,N/A,Abyssea-Attohwa,Doomed
Gaki,N/A,Waughroon Shrine,Demon
Gakke,N/A,Silver Sea Remnants,Salvage - Imp
Galarhigg,N/A,La Vaule (S),Dragon
Galgalim,N/A,Cloister of Tremors,Hecteyes
Galkan Automaton,N/A,Mine Shaft #2716,Humanoid
Galkarider Retzpratz,N/A,Dynamis - Beaucedine,Dynamis - Orc
Gamayun,N/A,Abyssea-Grauberg,Avatar
Gambilox Wanderling,53 - 53,North Gustaberg,Goblin
Gancanagh,N/A,Abyssea-Tahrongi,Mandragora
Gangly Gean,N/A,Abyssea-Konschtat,Treant
Gardsvor,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Spider
Gargantua,47 - 48,Beaucedine Glacier,Golem
Gargantua (Nyzul),72 - 76,Nyzul Isle,Golem
Gargouille Warden,N/A,Castle Zvahl Keep (S),Gargouille
Gargoyle,N/A,Pso'Xja,Doll
Gargoyle-Iota,60 - 65,Pso'Xja,Doll
Gargoyle-Kappa,N/A,Pso'Xja,Doll
Gargoyle-Lambda,60 - 65,Pso'Xja,Doll
Gargoyle-Mu,60 - 65,Pso'Xja,Doll
Garharlor the Unruly,N/A,Mount Zhayolm,Troll
Garhorlur the Brutal,N/A,Mount Zhayolm,Troll
Garuda Prime,70 - 70,Cloister of Gales,Avatar
Garuda Prime,25 - 25,Cloister of Gales,Avatar
Garuda Prime,N/A,Cloister of Gales, 1 more areas,Avatar
Garuda Prime,N/A,Cloister of Gales,Avatar
Gate Widow,N/A,Bhaflau Remnants,Salvage - Spider
Gavotvut,45 - 45,Davoi,Orc
Gawky Gawain,N/A,East Ronfaure,Beetle
Ge'Dha Evileye,30 - 30,Beadeaux,Quadav
Genbu,85 - 90,Ru'Aun Gardens,Adamantoise
Genbu (Summoned),N/A,The Shrine of Ru'Avitau,Adamantoise
Generic Doll,N/A,Qu'Bia Arena,Doll
Gere,N/A,Al Zahbi,Cerberus
Gerhilde,N/A,Einherjar - Odin's Chamber,Fomor
Gerjis,N/A,Horlais Peak,Tiger
Gerwitz's Axe,50 - 50,Ordelle's Caves,Evil Weapon
Gerwitz's Scythe,N/A,Middle Delkfutt's Tower,Evil Weapon
Gerwitz's Soul,54 - 54,Ordelle's Caves,Ghost
Gerwitz's Sword,52 - 52,Ordelle's Caves,Evil Weapon
Gespenst,N/A,Al Zahbi,Ghost
Geush Urvan,N/A,Uleguerand Range,Buffalo
Geyser Lizard,28 - 30,Dangruf Wadi,Lizard
Gharial,N/A,Wajaom Woodlands,Wivre
Gherrmoga,N/A,Ghoyu's Reverie,Bugard
Ghillie Dhu,15 - 16,Konschtat Highlands,Sapling
Ghost Clot,N/A,Apollyon - Southeast,Limbus - Clot
Gi'Bhe Fleshfeaster,N/A,Dynamis - Buburimu,Dynamis - Quadav
Gi'Pha Manameister,N/A,Dynamis - Bastok,Dynamis - Quadav
Gi'Rho Wrathstorm,N/A,Rolanberry Fields (S),Quadav
Giant Beastmaster,35 - 35,Qufim Island,Gigas
Giant High Ranger,35 - 35,Qufim Island,Gigas
Giant Monk,35 - 35,Qufim Island,Gigas
Giant Warrior,35 - 35,Qufim Island,Gigas
Gibberox Pimplebeak,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Giddy Bomb,N/A,Everbloom Hollow,Bomb
Gieremund,N/A,Abyssea-Attohwa,Hound
Gigantaur,N/A,West Sarutabaruta (S),Taurus
Gigaplasm,N/A,Gustav Tunnel,Slime
Gigas Beastmaster,45 - 50,Xarcabard, 1 more areas,Gigas
Gigas Monk,45 - 50,Xarcabard, 1 more areas,Gigas
Gigas Ranger,45 - 50,Xarcabard, 1 more areas,Gigas
Gigas Warrior,45 - 50,Xarcabard, 1 more areas,Gigas
Gii Jaha the Raucous,60 - 60,Balga's Dais,Yagudo
Ginger Custard,N/A,Nyzul Isle,Flan
Giollemitte B Feroun,N/A,Jugner Forest,Shadow
Girtablulu,N/A,Quicksand Caves,Scorpion
Girzorhor the Imprudent,N/A,Al Zahbi,Troll
Gizerl's Ghost,N/A,Kuftal Tunnel,Ghost
Gjenganger,N/A,Xarcabard, 3 more areas,Ghost
Glacial Wisp,N/A,Vunkerl Inlet (S),Snoll
Glacies,N/A,Ghoyu's Reverie (MMM),Elemental
Gladiatorial Weapon,N/A,Qu'Bia Arena,Evil Weapon
Glavoid,N/A,Abyssea-Tahrongi,Sandworm
Globster,N/A,North Gustaberg, 3 more areas,Slime
Gloom Eye,N/A,Ranguemont Pass,Ahriman
Gloomanita,50 - 54,North Gustaberg (S),Funguar
Gloombound Lurker,N/A,Maze of Shakhrami,Fomor
Glyryvilu,N/A,Sea Serpent Grotto,Sea Monk
Gnashfang Rahskhas,N/A,Batallia Downs (S),Orc
